Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Agaricus augustus_52.jpg,Agaricus,10473.069982394367,14448.300449880913,11747.389010307934,15229.031285836101,0.8389402703165754,0.7778073316845429,0.8193432010225459,0.7658008906308845,41.070862676056336,56.66000176423888,46.06819219728602,59.72169131700432,1.064013593085168,1.1450316935925056,1.0923796918496964,1.1583497058025563,0.42239562054523105,0.3856338858757897,0.4101144008092885,0.37910818683127845,0.6499197031520364,0.6209942720152817,0.640401749536405,0.6157176193932398,0.6360037987267915,0.4967714880984001,0.5911420342708227,0.4695776040884457
Agaricus augustus_53.jpg,Agaricus,12464.82100938967,16265.544414713753,12788.2217184238,16763.087712076216,0.8083101988529254,0.7498609107939325,0.803336792691788,0.7422094591074921,48.881651017214395,63.786448685151974,50.149889091858036,65.73759887088713,1.1553112756817971,1.2263029801637453,1.1620560187245212,1.2342374773596088,0.36624160510358267,0.33413819494766284,0.36332937456381764,0.33037314415310187,0.6051789860062746,0.5780468795414978,0.6027680935184091,0.574780953192694,0.5996490338002213,0.4770061070395812,0.5891505601518201,0.46100835747956215
Agaricus augustus_61.jpg,Agaricus,8272.497799295774,12209.992943044488,9965.861821503131,12290.509129936192,0.8727816904115927,0.8122290630971536,0.8467403527588483,0.8109908478157016,32.441167840375584,47.88232526684113,39.08181106471816,48.19807501935762,0.9366753693819806,1.0248949499024944,0.978731306922326,1.026439692787985,0.5025544345682532,0.46248159523067495,0.4841300749234349,0.4617083432999861,0.7089107380822026,0.6800599938466274,0.6957945637351839,0.6794912385748517,0.6707637774458752,0.5122803273764567,0.6030480953189178,0.5090661622298995
Agaricus augustus_76.jpg,Agaricus,6936.042400234742,9741.608838836779,7639.843586899791,9810.015731129995,0.893334321652343,0.8501890191794548,0.8825109404407501,0.849137026249039,27.20016627543036,38.20238760328148,29.96017092901879,38.47064992599998,0.8012057698399042,0.8671508816135741,0.8196543026256679,0.8685809591667106,0.5928662813597483,0.562254307200574,0.5847875240547271,0.5615186146952955,0.7699781044677493,0.7498361869105639,0.7647140145536285,0.7493454575129521,0.6579468889393387,0.5173174538063896,0.6228533909264322,0.5139279918093481
Agaricus augustus_80.jpg,Agaricus,9122.410504694835,11234.238730924168,8383.931856732777,12151.783351465789,0.8597113384693071,0.8272346641201339,0.8710680057710335,0.813124237205644,35.77415884194053,44.055838160486935,32.87816414405011,47.65405235868937,0.8875435368185051,0.929510258633268,0.8691219727305011,0.946055773680716,0.5454426414945799,0.5248509518301592,0.5541862660524315,0.5158132609442699,0.7385408868130321,0.7244659769997203,0.7444368784876468,0.71820140694952,0.5799022705610138,0.47997447931059084,0.6133956940708415,0.437505146573332
Agaricus augustus_81.jpg,Agaricus,10145.316167840376,14252.85218618601,11317.01412447808,14445.751124702285,0.8439806205542342,0.7808130257714451,0.8259617057103608,0.7778465363900242,39.78555359937402,55.893537985043174,44.38044754697286,56.65000441059719,1.0315471987629594,1.1147015597732581,1.0580009109954296,1.1180058326729574,0.4451412080224991,0.40661512262740074,0.43346855839556103,0.4049578596165425,0.6671890346989369,0.6376638006249067,0.658383291400656,0.6363629935944912,0.6313109093536634,0.48088552609707536,0.5883422344421383,0.47385980032119435
Agaricus augustus_91.jpg,Agaricus,5986.9131455399065,8458.448498926755,6711.854367823592,8916.052368490695,0.9079304717260802,0.8699220542717259,0.8967819892377882,0.8628848096378265,23.47809076682316,33.170386270301,26.32099752087683,34.964911248983114,0.7622643045242701,0.8254766511262923,0.7827488836954177,0.8359840397457605,0.6129594942357444,0.585412241488052,0.6044491599613555,0.5802552499273347,0.7829172971877326,0.7651223702703065,0.7774632852819197,0.7617448719402938,0.6965827331364022,0.5684552026258766,0.6593249881518529,0.5451085369585686
Agaricus augustus_92.jpg,Agaricus,4852.918867370892,6953.284424711106,5382.549582463465,6867.24469993237,0.9253695619079922,0.8930691657996632,0.9172246550231682,0.8943923246096581,19.031054381846634,27.26778205769061,21.1080375782881,26.930371372283805,0.6308549617667503,0.6860602928650357,0.6460532900977788,0.683969834481422,0.6962314280689412,0.6715674484951212,0.6899379788685123,0.6726117845498566,0.8344048346390026,0.8194921894045856,0.8306250531187416,0.8201291267537427,0.6820221364641356,0.5409335243557657,0.6464613172679766,0.5466093510388277
Agaricus augustus_93.jpg,Agaricus,9950.27508802817,13429.420153488783,10326.876141701461,13591.514746096622,0.8469800527784552,0.7934761456419158,0.8411885070325491,0.7909833797850611,39.02068661971831,52.66439275877954,40.49755349686848,53.30005782782989,0.949366986864829,1.0146799390016703,0.9569674048571554,1.0172999616934222,0.5056861063258902,0.4729398202323175,0.5022750355670821,0.4714846020163011,0.7111160990484536,0.6877062019731373,0.7087136484978133,0.6866473636564121,0.5804244907950256,0.43134727133660133,0.5638572142771447,0.4244808615917558
Agaricus augustus_95.jpg,Agaricus,10047.159624413145,13438.342791613984,10583.955669363257,13819.042018289278,0.8454901174235976,0.7933389291727311,0.8372350187715183,0.787484359820852,39.400625978090765,52.69938349652543,41.505708507306885,54.19232164035011,1.1041418137202017,1.1813496303318156,1.1175579724646312,1.1889599112659681,0.38569020188432906,0.3527928602530819,0.38018822809005776,0.34939237547310514,0.6210396137802556,0.5939636859716946,0.6165940545367412,0.5910942187782801,0.6805430256142014,0.5723477186649921,0.663381908613627,0.5602326167275895
